Journal,language requirements,language requirements notes,language requirements binned,editing services,author guidelines suggest peer review,Authors are recommended in guidelines to suggest reviewers from diverse backgrounds (select no if there are no guidelines),authors suggest diverse reviews binned,guidelines multiple countries,guidelines multiple institutions,guidelines ecr,guidelines gender,guidelines another demographic enthnicity or race,guidelines another demographic other,guidelines to be reviewer,guidelines link publisher,guidelines reviewer specific journal,guidelines social justice,guidelines esl,blind format,journal publish peer reviews,continent,eic_01,eic_02,eic_03,eic_04,eic_05,eic_06,eic_07,eic_08,eic_09,JCR 2020 IF,JIF_bin,JCR 2020 IF sans self citations ,JCR 2020 JCI,Language in JCR,Country based in on JCR,Publisher on JCR,Publisher from JCR but binned by larger company,Publisher major minor,society,Society listed,Society_publisher,First year in JCR,Website URL,Secondary website domain,Notes,Overall Tier Score,Notes on tier scoring,Source
Polar Biology,"Mentions authors need to use ""good English"" and points to fee-for-service editing","""For editors and reviewers to accurately assess the work presented in your manuscript you need to ensure the English language is of sufficient quality to be understood. If you need help with writing in English you should consider:
Getting a fast, free online grammar check.
Asking a colleague who is proficient in English to review your manuscript for clarity.
Visiting the English language tutorial which covers the common mistakes when writing in English.
Using a professional language editing service where editors will improve the English to ensure that your meaning is clear and identify problems that require your review. Two such services are provided by our affiliates Nature Research Editing Service and American Journal Experts. Springer authors are entitled to a 10% discount on their first submission to either of these services, simply follow the links below.""",5,Authors pay for editing,Optional,Yes,3,Yes,Yes,No,No,No,No,No,No,No,No,No,Single,No,Europe,Germany,,,,,,,,,2.31,Low,2.064,0.61,English,Germany,SPRINGER,SPRINGER,Major,NA,Not_society,Major_Not_society,1997,https://www.springer.com/journal/300,,,Tier 1,,"Original list (publisher, personal knowledge)"
Polar Research,"Requires or strongly advices ESL authors to pay for editing prior to submission (or have colleagues edit, etc.) (least progressive policies)","""Authors for whom English is a second language should consider having their manuscripts professionally edited before submission. Services providers include Cambridge Language Consultant, Write Scientific Right, Editage, ManuscriptEdit, Cambridge Proofreading LTD, Proofreadmyessay.co.uk, Regent Editing, Quality Proofreading by PSUK and Scribendi.com: English Editing and Proofreading Services. Other editing service providers can be found on the internet. All services are paid for and arranged by the author. Use of one of these services does not guarantee acceptance or preference for publication.""",6,Authors pay for editing,Optional,No,2,No,No,No,No,No,No,Yes,No,Yes,No,No,Single,No,Europe,Norway,,,,,,,,,1.612,Low,1.576,0.43,English,NORWAY,NORWEGIAN POLAR INST,NORWEGIAN POLAR INST,Minor,NA,Not_society,Minor_Not_society,1997,https://polarresearch.net/,,,Tier 1,,"Original list (publisher, personal knowledge)"
Polish Journal of Ecology,Other (describe in adjacent column),"""The POLISH JOURNAL OF ECOLOGY accepts only articles written in English. The responsibility for the correct language of the text lies entirely with the Author.""",7,Journal doesn't mention language editing,No,No,1,No,No,No,No,No,No,No,No,No,No,No,Single,No,Europe,Poland,,,,,,,,,0.431,Low,0.415,0.16,English,POLAND,POLISH ACAD SCIENCES INST ECOLOGY,POLISH ACAD SCIENCES INST ECOLOGY,Minor,Muzeum i Instytut Zool,Society,Minor_Society,2004,https://bioone.org/journals/polish-journal-of-ecology,,,Tier 1,,"Original list (publisher, personal knowledge)"
POLISH JOURNAL OF ENVIRONMENTAL STUDIES,No mention of language editing in author guidelines or doesn't have author guidelines,No mention of English requirement,1,Journal doesn't mention language editing,No,No,1,No,No,No,No,No,No,No,No,No,No,No,Assumed_single,No,Europe,Poland,,,,,,,,,1.699,Low,1.413,0.32,English,POLAND,HARD,HARD,Minor,NA,Not_society,Minor_Not_society,2002,http://www.pjoes.com/,,,Tier 3,,JCR
Population Ecology,Offers editing but doesn't strongly suggest or recommend that people use it,"""Wiley Editing Services offers expert help with English Language Editing, as well as translation, manuscript formatting, figure illustration, figure formatting, and graphical abstract design – so you can submit your manuscript with confidence.""",4,Authors pay for editing,No,No,1,No,No,No,No,No,No,Yes,Yes,No,No,No,Single,No,Asia,Japan,,,,,,,,,2.1,Low,2.029,0.49,English,POLAND,WILEY,WILEY,Major,The Society of Population Ecology,Society,Major_Society,2000,https://esj-journals.onlinelibrary.wiley.com/journal/1438390x,,,Tier 1,,"Original list (publisher, personal knowledge)"
PRESLIA,No mention of language editing in author guidelines or doesn't have author guidelines,"""Papers are published in English.""",1,Journal doesn't mention language editing,No,No,1,No,No,No,No,No,No,No,No,No,No,No,Assumed_single,No,Europe,Czech Republic,,,,,,,,,4.167,Mid,3.067,1.5,English,CZECH REPUBLIC,CZECH BOTANICAL SOC,CZECH BOTANICAL SOC,Minor,Czech Botanical Society,Society,Minor_Society,2005,http://www.preslia.cz/,https://presliajournal.com/,,Tier 1,,JCR
Proceedings of the Japan Academy Series B: Physical and Biological Sciences,No mention of language editing in author guidelines or doesn't have author guidelines,No mention of English requirement,1,Journal doesn't mention language editing,Optional,No,2,No,No,No,No,No,No,No,No,No,No,No,Assumed_single,No,Asia,Japan,,,,,,,,,3.493,Mid,3.493,0.36,English,JAPAN,JAPAN ACAD,JAPAN ACAD,Minor,Japan Academy,Society,Minor_Society,1997,https://www.jstage.jst.go.jp/browse/pjab,,,Tier 3,,"Original list (publisher, personal knowledge)"
Proceedings of the National Academy of Sciences,No mention of language editing in author guidelines or doesn't have author guidelines,No mention of English requirement,1,Journal doesn't mention language editing,Yes,No,2,No,No,No,No,No,No,Yes,No,Yes,Yes,Yes,Other,No,Northern America,United States,,,,,,,,,11.205,High,10.927,2.04,English,United States,NATL ACAD SCIENCES,NATL ACAD SCIENCES,Minor,National Academy of Sciences,Society,Minor_Society,1997,https://www.pnas.org/,,PNAS doesn't specify review model for direct submissions but implies single-blind based on the title page. NAS members can do 2 contributed submissions per year that go through a different review process where they select 2+ reviewers who previously agreed to review the manuscript. The reviewer names/affiliations are required to be published with the articles. ,Tier 2,,"Original list (publisher, personal knowledge)"
Proceedings of the Royal Society B-Biological Sciences,Offers editing but doesn't strongly suggest or recommend that people use it,"""Language editing services provide professional editing of manuscripts prior to submission. Authors are encouraged to use language editing services if needed, but the Royal Society does not take responsibility for or endorse these services, and their use has no bearing on acceptance of a manuscript for publication. The Royal Society has negotiated a discount with certain services for its authors - find out how to claim this here.""",4,Partial waivers available,Yes,Yes,3,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Single,Yes,Northern America,Canada,,,,,,,,,5.349,Mid,5.178,1.3,English,United Kingdom,ROYAL SOC,ROYAL SOCIETY PUBLISHING,Minor,The Royal Society,Society,Minor_Society,1997,https://royalsocietypublishing.org/journal/rspb,,"In JCR under ""PROCEEDINGS OF THE ROYAL SOCIETY OF LONDON SERIES B-BIOLOGICAL SCIENCES"" until 2003 when it lost ""of London"" in the name",Tier 2,,"Original list (publisher, personal knowledge)"
RAFFLES BULLETIN OF ZOOLOGY,"Requires or strongly advices ESL authors to pay for editing prior to submission (or have colleagues edit, etc.) (least progressive policies)","""Authors whose native language is not English should have their work reviewed by a person well versed in the English language before submitting the manuscript. It is not the Editors’ or Referees’ responsibility to provide language assistance, and poorly written manuscripts may be grounds for rejection.""",6,Authors pay for editing,Yes,No,2,No,No,No,No,No,No,No,No,No,No,No,Assumed_single,No,Asia,Singapore,,,,,,,,,1.267,Low,1.119,0.64,English,SINGAPORE,"NATL UNIV SINGAPORE, SCHOOL BIOLOGICAL SCIENCES","NATL UNIV SINGAPORE, SCHOOL BIOLOGICAL SCIENCES",Minor,NA,Not_society,Minor_Not_society,1997,https://lkcnhm.nus.edu.sg/publications/raffles-bulletin-of-zoology/,,,Tier 1,,JCR
Rangeland Ecology & Management,"Mentions authors need to use ""good English"" and points to fee-for-service editing","""Please write your text in good English (American or British usage is accepted, but not a mixture of these). Authors who feel their English language manuscript may require editing to eliminate possible grammatical or spelling errors and to conform to correct scientific English may wish to use the English Language Editing service available from Elsevier's Author Services.""",5,Authors pay for editing,Yes,No,2,No,No,No,No,No,No,Yes,Yes,No,No,No,Assumed_single,No,Unclear,United States,,,,,,,,,2.019,Low,1.761,0.58,English,United States,SOC RANGE MANAGEMENT,ELSEVIER,Major,Society for Range Management,Society,Major_Society,2005,https://www.journals.elsevier.com/rangeland-ecology-and-management,,,Tier 1,,"Original list (publisher, personal knowledge)"
Regional Environmental Change,"Requires or strongly advices ESL authors to pay for editing prior to submission (or have colleagues edit, etc.) (least progressive policies)","""Manuscripts that are accepted for publication will be checked by our copyeditors for spelling and formal style. This may not be sufficient if English is not your native language and substantial editing would be required. In that case, you may want to have your manuscript edited by a native speaker prior to submission.""",6,Authors pay for editing,No,No,1,No,No,No,No,No,No,No,No,No,No,No,Single,No,Unclear,France,,,,,,,,,3.678,Mid,3.531,0.95,English,Germany,SPRINGER HEIDELBERG,SPRINGER,Major,NA,Not_society,Major_Not_society,2008,https://www.springer.com/journal/10113,,,Tier 3,focus on human-environment interactions,JCR
Regional Studies in Marine Science,"Mentions authors need to use ""good English"" and points to fee-for-service editing","""Please write your text in good English (American or British usage is accepted, but not a mixture of these). Authors who feel their English language manuscript may require editing to eliminate possible grammatical or spelling errors and to conform to correct scientific English may wish to use the English Language Editing service available from Elsevier's Author Services.""",5,Authors pay for editing,Yes,Yes,3,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,No,Single,No,Unclear,"Korea, Republic Of",China,Germany,,,,,,,1.624,Low,1.45,0.5,English,NETHERLANDS,ELSEVIER,ELSEVIER,Major,NA,Not_society,Major_Not_society,2017,https://www.sciencedirect.com/journal/regional-studies-in-marine-science,,,Tier 3,"mentions ""impacts of eutrophication, hypoxia and chemical contaminants on species"" and ""marine biodiversity""",JCR
Remote Sensing,"Requires or strongly advices ESL authors to pay for editing prior to submission (or have colleagues edit, etc.) (least progressive policies)","""To facilitate proper peer-reviewing of your manuscript, it is essential that it is submitted in grammatically correct English. Advice on some specific language points can be found here. If you are not a native English speaker, we recommend that you have your manuscript professionally edited before submission or read by a native English-speaking colleague. This can be carried out by MDPI's English editing service. Professional editing will enable reviewers and future readers to more easily read and assess the content of submitted manuscripts. All accepted manuscripts undergo language editing, however an additional fee will be charged to authors if very extensive English corrections must be made by the Editorial Office: pricing is according to the service here.""",6,Authors pay for editing,Yes,No,2,No,No,No,No,No,No,Yes,No,Yes,No,No,Single,Yes,Europe,United States,,,,,,,,,4.848,Mid,3.246,1.15,English,SWITZERLAND,MDPI,MDPI,Minor,NA,Not_society,Minor_Not_society,2012,https://www.mdpi.com/journal/remotesensing,,Optional open peer-review,Tier 3,,"Original list (publisher, personal knowledge)"
